token	case	degree	gend	lemma	mood	num	pers	pos	tense	voice	treated
όπως	n	-	n	ὅπως	-	-	-	n	-	-	όπως
καθώς	n	-	-	καθώς	-	-	-	n	-	-	καθώς
πολύ	n	-	n	πολύς	-	s	-	a	-	-	πολύ
όνομα	n	-	n	ὄνομα	-	s	-	n	-	-	όνομα
έργο	n	-	-	ἔργον	-	s	-	n	-	-	έργο
συνέχεια	n	-	f	συνέχεια	-	s	-	n	-	-	συνέχεια
σαν	n	-	-	μήν	-	s	-	n	-	-	σαν
έργα	n	-	n	ἔργον	-	s	-	n	-	-	έργα
right	n	-	-		-	s	-	n	-	-	right
ιδιαίτερα	n	-	n	ἴδιος	-	s	-	a	-	-	ιδιαίτερα
μεγαλύτερη	n	-	f	μεγαλύς	-	s	-	a	-	-	μεγαλύτερη
σχέση	n	-	n	ἔχω	-	s	-	n	-	-	σχέση
αρκετά	n	-	n	ἀρκετός	-	s	-	a	-	-	αρκετά
επιτυχία	n	-	f	ἐπιτυχία	-	s	-	n	-	-	επιτυχία
top	n	-	f	μέτα	-	s	-	n	-	-	top
συμμετοχή	n	-	f	συμμετοχή	-	s	-	n	-	-	συμμετοχή
σημαντικό	n	-	-	σημαντικός	-	s	-	a	-	-	σημαντικό
κέρδισε	n	-	-	κερδίων	-	s	-	n	-	-	κέρδισε
χαρακτηριστικά	n	-	n	χαρακτηριστικός	-	s	-	a	-	-	χαρακτηριστικά
βοήθεια	n	-	f	βοήθειος	-	s	-	n	-	-	βοήθεια
τιμή	n	-	f	τιμή	-	s	-	n	-	-	τιμή
νίκη	n	-	f	νίκη	-	s	-	n	-	-	νίκη
σημαντικά	n	-	-	σημαντικός	-	s	-	a	-	-	σημαντικά
βραβείο	n	-	-	βραβεί	-	s	-	n	-	-	βραβείο
οδήγησε	n	-	-	ὀδηγέω	-	s	-	v	-	-	οδήγησε
ακριβώς	n	-	-	ἀκριβώς	-	s	-	n	-	-	ακριβώς
λοιπόν	n	-	n	λοιπός	-	s	-	a	-	-	λοιπόν
καλά	n	-	n	καλός	-	s	-	a	-	-	καλά
κορυφή	n	-	f	κορυφή	-	s	-	n	-	-	κορυφή
επανάσταση	n	-	f	ἐπανίστημι	-	s	-	n	-	-	επανάσταση
πρόταση	n	-	f	πρότασος	-	s	-	v	-	-	πρόταση
μπροστά	n	-	-	μπροστός	-	s	-	a	-	-	μπροστά
πρότυπο	n	-	-	πρότυπος	-	s	-	n	-	-	πρότυπο
δικαίωμα	n	-	n	δικαίωμα	-	s	-	n	-	-	δικαίωμα
γρήγορα	n	-	f	γρήγορος	-	s	-	n	-	-	γρήγορα
υποστήριξη	n	-	f	ὑποστήριγος	-	s	-	n	-	-	υποστήριξη
μεγάλος	n	-	m	μέγαλος	-	s	-	a	-	-	μεγάλος
δεξιά	n	-	f	δεξιός	-	s	-	n	-	-	δεξιά
ήττα	n	-	f	ἥσσατος	-	s	-	n	-	-	ήττα
συμφωνία	n	-	f	συμφωνία	-	s	-	n	-	-	συμφωνία
δουλειά	n	-	f	δουλειός	-	s	-	n	-	-	δουλειά
χάρη	n	-	f	χάρα	-	s	-	n	-	-	χάρη
προστασία	n	-	f	προστασία	-	s	-	n	-	-	προστασία
ενότητα	n	-	f	ἐνότητος	-	s	-	n	-	-	ενότητα
επιστροφή	n	-	f	ἐπιστροφή	-	s	-	n	-	-	επιστροφή
αξία	n	-	f	ἄξιος	-	s	-	a	-	-	αξία
καλύτερα	n	-	f	καλύτερος	-	s	-	a	-	-	καλύτερα
εργασία	n	-	f	ἐργασία	-	s	-	n	-	-	εργασία
τρόπος	n	-	m	τρόπος	-	s	-	n	-	-	τρόπος
εργάστηκε	-	-	-	ἐργαστής	-	s	-	n	-	-	εργάστηκε
εξαιρετικά	n	-	-	ἐξαιρετικός	-	s	-	a	-	-	εξαιρετικά
πρωθυπουργός	n	-	m	πρωθυπουργός	-	s	-	a	-	-	πρωθυπουργός
πέτυχε	-	-	-	πεύχομαι	-	s	-	n	-	-	πέτυχε
χρυσό	n	-	m	χρυσός	-	s	-	n	-	-	χρυσό
οδηγεί	n	-	-	ὀδηγής	-	s	-	a	-	-	οδηγεί
μονάδα	n	-	f	μονάς	-	s	-	a	-	-	μονάδα
έντονη	n	-	-	ἔντονης	-	s	-	n	-	-	έντονη
φτάνει	-	-	-	φτάνις	-	s	-	n	-	-	φτάνει
έκθεση	n	-	-	κθέσος	-	s	-	n	-	-	έκθεση
πλήρως	n	-	f	πλήρως	-	s	-	a	-	-	πλήρως
συμβόλαιο	-	-	-	συμβόλαιος	-	s	-	n	-	-	συμβόλαιο
νίκησε	n	-	-	νικάω	-	s	-	v	-	-	νίκησε
θεραπεία	n	-	f	θεραπεία	-	s	-	n	-	-	θεραπεία
κυριαρχία	n	-	f	κυριαρχία	-	s	-	n	-	-	κυριαρχία
απελευθέρωση	n	-	f	ἀπελευθέρωσις	-	s	-	v	-	-	απελευθέρωση
επιτυχίες	n	-	f	ἐπιτυχία	-	s	-	n	-	-	επιτυχίες
τεράστια	n	-	f	τεράστιος	-	s	-	a	-	-	τεράστια
ικανότητα	a	-	f	ἰκανότης	-	s	-	n	-	-	ικανότητα
έντονα	n	-	f	ἔντων	-	s	-	n	-	-	έντονα
καλύτερο	n	-	f	καλύτερος	-	s	-	a	-	-	καλύτερο
πρόσωπα	n	-	f	πρόσωπον	-	s	-	n	-	-	πρόσωπα
σύζυγος	n	-	f	σύζυγος	-	s	-	n	-	-	σύζυγος
ειδική	n	-	f	διδικός	-	s	-	n	-	-	ειδική
υποστηρίζει	n	-	f	ὑποστηρίζω	-	s	-	v	-	-	υποστηρίζει
εισαγωγή	n	-	f	εἰσαγωγή	-	s	-	n	-	-	εισαγωγή
ποικιλία	n	-	f	ποικιλία	-	s	-	n	-	-	ποικιλία
προσφορά	n	-	f	προσφορά	-	s	-	n	-	-	προσφορά
προσέγγιση	n	-	f	προσγγίζω	-	s	-	n	-	-	προσέγγιση
κύριος	n	-	f	κύριος	-	s	-	n	-	-	κύριος
πρωταθλητής	n	-	f	πρωταθλητής	-	s	-	n	-	-	πρωταθλητής
αγάπη	n	-	f	ἀγάπη	-	s	-	n	-	-	αγάπη
πίστη	n	-	f	πίστης	-	s	-	n	-	-	πίστη
βοήθησε	n	-	f	βοηθέω	-	s	-	v	-	-	βοήθησε
συνεισφορά	n	-	f	συνεισφορά	-	s	-	n	-	-	συνεισφορά
λήξη	n	-	f	λήξη	-	s	-	n	-	-	λήξη
απλή	n	-	f	ἀπλό	-	s	-	n	-	-	απλή
