token	case	degree	gend	lemma	mood	num	pers	pos	tense	voice	treated
κατηγορία	n	-	f	κατηγορία	-	s	-	n	-	-	κατηγορία
αγώνες	n	-	m	ἀγών	-	p	-	n	-	-	αγώνες
θέμα	n	-	f	θέμας	-	s	-	n	-	-	θέμα
έκδοση	n	-	f	ἐκδίδωμι	-	s	-	v	-	-	έκδοση
πίσω	n	-	-	πίσω	-	s	-	v	-	-	πίσω
μόλις	n	-	-	μόλις	-	s	-	n	-	-	μόλις
κατάσταση	n	-	f	καθίστημι	-	s	-	n	-	-	κατάσταση
παράδοση	n	-	f	παραδίδωμι	-	s	-	v	-	-	παράδοση
θέματα	n	-	n	θέματος	-	s	-	n	-	-	θέματα
πρόβλημα	n	-	n	πρόβλημα	-	s	-	n	-	-	πρόβλημα
προβλήματα	n	-	n	πρόβλημα	-	s	-	n	-	-	προβλήματα
επίθεση	n	-	-	πείθω	-	s	-	n	-	-	επίθεση
αγωνίστηκε	n	-	-	ἀγωνίζομαι	-	s	-	v	-	-	αγωνίστηκε
συγκρότημα	n	-	n	συγκρότημα	-	s	-	n	-	-	συγκρότημα
κατηγορίες	n	-	f	κατηγορία	-	s	-	n	-	-	κατηγορίες
έννοια	n	-	f	ἔννοια	-	s	-	n	-	-	έννοια
βάρος	n	-	n	βάρος	-	s	-	n	-	-	βάρος
χρώμα	n	-	-	χρώμα	-	s	-	n	-	-	χρώμα
αντικείμενο	n	-	-	ἀντίκειμαι	-	s	-	v	-	-	αντικείμενο
τίτλος	n	-	m	τίτλος	-	s	-	n	-	-	τίτλος
λιμάνι	n	-	f	λιμάνι	-	s	-	n	-	-	λιμάνι
καταστροφή	n	-	f	καταστροφή	-	s	-	n	-	-	καταστροφή
όρια	n	-	f	ὄριος	-	s	-	n	-	-	όρια
προκάλεσε	n	-	-	προκαλέω	-	s	-	v	-	-	προκάλεσε
κριτική	n	-	f	κριτικός	-	s	-	n	-	-	κριτική
λάθος	n	-	n	λάθος	-	s	-	n	-	-	λάθος
ζήτημα	n	-	n	ζήτημα	-	s	-	n	-	-	ζήτημα
πτώση	n	-	f	πτώση	-	s	-	v	-	-	πτώση
