token	case	degree	gend	lemma	mood	num	pers	pos	tense	voice	treated
Ἑρμῆν	a	-	m	Ἑρμῆς	-	s	-	n	-	-	Ἑρμῆν
ὕμνει	-	-	-	ὕμνι	-	s	-	n	-	-	ὕμνει
,	-	-	-	,	-	-	-	u	-	-	,
Μοῦσα	-	-	f	Μοῦσα	-	s	-	n	-	-	Μοῦσα
,	-	-	-	,	-	-	-	u	-	-	,
Διὸς	-	-	m	Ζεύς	-	s	-	n	-	-	Διὸς
καὶ	-	-	-	καί	-	-	-	n	-	-	καὶ
Μαιάδος	-	-	-	Μαιάς	-	s	-	n	-	-	Μαιάδος
υἱόν	a	-	m	υἱός	-	s	-	n	-	-	υἱόν
,	-	-	-	,	-	-	-	u	-	-	,
Κυλλήνης	-	-	f	Κυλλήνη	-	s	-	n	-	-	Κυλλήνης
μεδέοντα	a	-	m	μεδέων	-	s	-	n	-	-	μεδέοντα
καὶ	-	-	-	καί	-	-	-	n	-	-	καὶ
Ἀρκαδίης	-	-	f	Ἀρκαδία	-	s	-	n	-	-	Ἀρκαδίης
πολυμήλου	-	-	m	πολύμηλος	-	s	-	a	-	-	πολυμήλου
,	-	-	-	,	-	-	-	u	-	-	,
ἄγγελον	a	-	m	ἄγγελος	-	s	-	n	-	-	ἄγγελον
ἀθανάτων	-	-	m	ἀθάνατος	-	s	-	a	-	-	ἀθανάτων
ἐριούνιον	a	-	m	ἐριούνιος	-	s	-	n	-	-	ἐριούνιον
,	-	-	-	,	-	-	-	u	-	-	,
ὃν	-	-	m	ὅς	-	s	-	a	-	-	ὃν
τέκε	-	-	-	τίκτω	-	s	-	n	-	-	τέκε
Μαῖα	-	-	f	Μαῖα	-	s	-	n	-	-	Μαῖα
,	-	-	-	,	-	-	-	u	-	-	,
νύμφη	-	-	f	νύμφη	-	s	-	n	-	-	νύμφη
ἐυπλόκαμος	-	-	f	εὐπλόκαμος	-	s	-	a	-	-	ἐυπλόκαμος
,	-	-	-	,	-	-	-	u	-	-	,
Διὸς	-	-	m	Ζεύς	-	s	-	n	-	-	Διὸς
ἐν	-	-	-	ἐν	-	-	-	n	-	-	ἐν
φιλότητι	-	-	f	φιλότης	-	s	-	n	-	-	φιλότητι
μιγεῖσα	-	-	f	μίγνυμι	-	s	-	v	-	-	μιγεῖσα
,	-	-	-	,	-	-	-	u	-	-	,
5αἰδοίη	-	-	-	αἰδοῖος	-	s	-	n	-	-	5αἰδοίη
:	-	-	-	:	-	-	-	u	-	-	:
μακάρων	-	-	m	μάκαρ	-	-	-	n	-	-	μακάρων
δὲ	-	-	-	δέ	-	-	-	n	-	-	δὲ
θεῶν	-	-	m	θεός	-	s	-	n	-	-	θεῶν
ἠλεύαθ	-	-	-	ἐλεύω	-	-	-	v	-	-	ἠλεύαθ
᾽	-	-	-	̓ ̓	-	-	-	-	-	-	 ̓
ὅμιλον	-	-	m	ὅμιλος	-	s	-	n	-	-	ὅμιλον
,	-	-	-	,	-	-	-	u	-	-	,
ἄντρον	-	-	-	ἄντρον	-	s	-	n	-	-	ἄντρον
ἔσω	-	-	-	ἔσω	-	s	-	v	-	-	ἔσω
ναίουσα	-	-	-	ναίω	-	s	-	v	-	-	ναίουσα
παλίσκιον	-	-	m	παλίσκιος	-	s	-	n	-	-	παλίσκιον
,	-	-	-	,	-	-	-	n	-	-	,
ἔνθα	-	-	-	ἔνθα	-	-	-	n	-	-	ἔνθα
Κρονίων	-	-	m	Κρονίων	-	s	-	n	-	-	Κρονίων
νύμφῃ	-	-	f	νύμφη	-	s	-	n	-	-	νύμφῃ
ἐυπλοκάμῳ	-	-	-	εὐπλόκαμος	-	s	-	a	-	-	ἐυπλοκάμῳ
μισγέσκετο	-	-	-	μίσγυμις	-	s	-	v	-	-	μισγέσκετο
νυκτὸς	-	-	-	νύξ	-	s	-	n	-	-	νυκτὸς
ἀμολγῷ	-	-	-	ἀμολγός	-	s	-	n	-	-	ἀμολγῷ
,	-	-	-	,	-	-	-	n	-	-	,
ὄφρα	-	-	-	ὄφρα	-	-	-	n	-	-	ὄφρα
κατὰ	-	-	-	κατά	-	-	-	n	-	-	κατὰ
γλυκὺς	n	-	m	γλυκύς	-	s	-	a	-	-	γλυκὺς
ὕπνος	-	-	m	ὕπνος	-	s	-	n	-	-	ὕπνος
ἔχοι	-	-	-	ἔχω	-	s	-	v	-	-	ἔχοι
λευκώλενον	a	-	m	λευκώλενος	-	s	-	a	-	-	λευκώλενον
Ἥρην	a	-	-	Ἥρα	-	s	-	n	-	-	Ἥρην
,	-	-	-	,	-	-	-	n	-	-	,
λήθων	n	-	m	λήθων	-	s	-	n	-	-	λήθων
ἀθανάτους	a	-	m	ἀθάνατος	-	p	-	a	-	-	ἀθανάτους
τε	-	-	-	τε	-	-	-	d	-	-	τε
θεοὺς	a	-	m	θεός	-	p	-	n	-	-	θεοὺς
θνητούς	a	-	m	θνητός	-	p	-	a	-	-	θνητούς
τ	-	-	-	τε	-	-	-	c	-	-	τ
᾽	-	-	-	̓ ̓	-	-	-	u	-	-	 ̓
ἀνθρώπους	a	-	m	ἄνθρωπος	-	p	-	n	-	-	ἀνθρώπους
.	-	-	-	.	-	-	-	u	-	-	.
10ἀλλ	-	-	-		-	-	-	d	-	-	10ἀλλ
᾽	-	-	-	̓ ̓	-	-	-	-	-	-	 ̓
ὅτε	-	-	-	ὅτε	-	-	-	c	-	-	ὅτε
δὴ	-	-	-	δή	-	-	-	d	-	-	δὴ
μεγάλοιο	-	-	m	μέγας	-	s	-	a	-	-	μεγάλοιο
Διὸς	-	-	m	Ζεύς	-	s	-	n	-	-	Διὸς
νόος	-	-	m	νόος	-	s	-	n	-	-	νόος
ἐξετελεῖτο	-	-	-	ἐκτελέω	-	s	-	v	-	-	ἐξετελεῖτο
,	-	-	-	,	-	-	-	u	-	-	,
τῇ	-	-	-	ὁ	-	s	-	d	-	-	τῇ
δ	-	-	-	δέ	-	-	-	n	-	-	δ
᾽	-	-	-	̓ ̓	-	-	-	-	-	-	 ̓
ἤδη	-	-	-	ἤδη	-	-	-	d	-	-	ἤδη
δέκατος	-	-	-	δέκατος	-	s	-	n	-	-	δέκατος
μεὶς	-	-	-	μείς	-	s	-	n	-	-	μεὶς
οὐρανῷ	-	-	-	οὐρανός	-	s	-	n	-	-	οὐρανῷ
ἐστήρικτο	-	-	-	στηρίζω	-	s	-	v	-	-	ἐστήρικτο
,	-	-	-	,	-	-	-	u	-	-	,
εἴς	-	-	-	εἰ	-	-	-	v	-	-	εἴς
τε	-	-	-	τε	-	-	-	d	-	-	τε
φόως	-	-	-	φόως	-	s	-	n	-	-	φόως
ἄγαγεν	-	-	-	ἄγω	-	s	-	v	-	-	ἄγαγεν
ἀρίσημά	-	-	-	ἀρίσημα	-	s	-	n	-	-	ἀρίσημά
τε	-	-	-	τε	-	-	-	d	-	-	τε
ἔργα	-	-	-	ἔργον	-	s	-	n	-	-	ἔργα
τέτυκτο	-	-	-	τεύχω	-	s	-	v	-	-	τέτυκτο
:	-	-	-	:	-	-	-	u	-	-	:
καὶ	-	-	-	καί	-	-	-	d	-	-	καὶ
τότ	-	-	-	τότε	-	-	-	d	-	-	τότ
᾽	-	-	-	̓	-	-	-	-	-	-	 ̓
